Rank,Word,Frequency,Dispersion
1,the,22038615,0.98
2,be,12545825,0.97
3,and,10741073,0.99
4,of,10343885,0.97
5,a,10144200,0.98
6,in,6996437,0.98
7,to,6332195,0.98
8,have,4303955,0.97
9,to,3856916,0.99
10,it,3872477,0.96
11,I,3978265,0.93
12,that,3430996,0.97
13,for,3281454,0.98
14,you,3081151,0.92
15,he,2909254,0.94
16,with,2683014,0.99
17,on,2485306,0.99
18,do,2573587,0.95
19,say,1915138,0.95
20,this,1885366,0.96
21,they,1865580,0.96
22,at,1767638,0.98
23,but,1776767,0.97
24,we,1820935,0.94
25,his,1801708,0.95
26,from,1635914,0.99
27,that,1712406,0.94
28,not,1638830,0.98
29,n't,1619007,0.97
30,by,1490548,0.96
31,she,1484869,0.91
32,or,1379320,0.97
33,as,1296879,0.98
34,what,1181023,0.94
35,go,1151045,0.93
36,their,1083029,0.97
37,can,1022775,0.98
38,who,1018283,0.97
39,get,992596,0.94
40,if,933542,0.97
41,would,925515,0.97
42,her,969591,0.91
43,all,892102,0.98
44,my,919821,0.93
45,make,857168,0.98
46,about,874406,0.96
47,know,892535,0.93
48,will,824568,0.97
49,as,829018,0.95
50,up,795534,0.95
51,one,768232,0.98
52,time,764657,0.98
53,there,784528,0.96
54,year,769254,0.96
55,so,756550,0.95
56,think,772787,0.91
57,when,678626,0.98
58,which,685982,0.96
59,them,677870,0.97
60,some,674193,0.98
61,me,709623,0.92
62,people,691468,0.95
63,take,670745,0.97
64,out,678603,0.96
65,into,668172,0.97
66,just,677711,0.94
67,see,663645,0.96
68,him,677707,0.92
69,your,659622,0.94
70,come,628254,0.95
71,could,617932,0.96
72,now,605997,0.94
73,than,579757,0.97
74,like,568850,0.96
75,other,547799,0.97
76,how,538893,0.97
77,then,543977,0.95
78,its,539719,0.96
79,our,525107,0.97
80,two,511027,0.99
81,more,517536,0.97
82,these,513864,0.95
83,want,514972,0.95
84,way,470401,0.98
85,look,491707,0.93
86,first,463566,0.98
87,also,464606,0.96
88,new,435993,0.97
89,because,438539,0.96
90,day,432773,0.97
91,more,420170,0.97
92,use,420781,0.96
93,no,402222,0.98
94,man,409760,0.95
95,find,395203,0.98
96,here,412315,0.93
97,thing,400724,0.94
98,give,384503,0.98
99,many,385348,0.97
100,well,411776,0.91
101,only,379574,0.98
102,those,378007,0.97
103,tell,388155,0.94
104,one,369553,0.98
105,very,391821,0.92
106,her,397950,0.89
107,even,361067,0.98
108,back,367844,0.94
109,any,348100,0.98
110,good,353973,0.96
111,woman,341422,0.98
112,through,340921,0.98
113,us,351088,0.95
114,life,333085,0.98
115,child,333849,0.97
116,there,333433,0.93
117,work,318210,0.98
118,down,329409,0.94
119,may,324569,0.95
120,after,311902,0.98
121,should,310265,0.98
122,call,308050,0.97
123,world,303506,0.97
124,over,300349,0.98
125,school,304183,0.95
126,still,296953,0.97
127,try,294023,0.96
128,in,285035,0.98
129,as,281483,0.98
130,last,289843,0.95
131,ask,284632,0.96
132,need,276744,0.98
133,too,280396,0.96
134,feel,275214,0.95
135,three,266744,0.98
136,when,268219,0.97
137,state,272193,0.94
138,never,262584,0.96
139,become,259102,0.97
140,between,264158,0.94
141,high,255936,0.96
142,really,263414,0.91
143,something,254910,0.94
144,most,246360,0.96
145,another,240646,0.98
146,much,244507,0.97
147,family,243267,0.97
148,own,240452,0.98
149,out,242443,0.96
150,leave,240482,0.96
151,put,237480,0.96
152,old,236577,0.96
153,while,234555,0.97
154,mean,242198,0.93
155,on,236980,0.95
156,keep,231760,0.96
157,student,255047,0.88
158,why,235442,0.95
159,let,240300,0.93
160,great,225005,0.97
161,same,222836,0.98
162,big,227169,0.96
163,group,229435,0.93
164,begin,218617,0.98
165,seem,219627,0.97
166,country,223138,0.95
167,help,216082,0.98
168,talk,229429,0.92
169,where,213744,0.98
170,turn,221392,0.94
171,problem,217728,0.96
172,every,212739,0.97
173,start,213952,0.96
174,hand,225247,0.91
175,might,209059,0.98
176,American,214968,0.95
177,show,208037,0.98
178,part,207861,0.98
179,about,208550,0.97
180,against,204379,0.98
181,place,202427,0.98
182,over,208260,0.95
183,such,207065,0.95
184,again,206895,0.94
185,few,197266,0.97
186,case,200773,0.95
187,most,197086,0.96
188,week,199268,0.95
189,company,203345,0.93
190,where,194427,0.96
191,system,200175,0.94
192,each,196522,0.95
193,right,205250,0.9
194,program,195985,0.93
195,hear,196070,0.93
196,so,191893,0.95
197,question,192070,0.95
198,during,190729,0.95
199,work,187533,0.97
200,play,188328,0.96
201,government,191314,0.94
202,run,187325,0.96
203,small,185463,0.97
204,number,186005,0.96
205,off,183854,0.95
206,always,179474,0.97
207,move,179388,0.97
208,like,182341,0.95
209,night,184511,0.93
210,live,176144,0.98
211,Mr,188555,0.91
212,point,177481,0.97
213,believe,178397,0.96
214,hold,177368,0.97
215,today,183724,0.93
216,bring,174366,0.98
217,happen,182714,0.93
218,next,176306,0.96
219,without,172448,0.98
220,before,172769,0.98
221,large,175611,0.96
222,all,177317,0.93
223,million,176895,0.93
224,must,171043,0.96
225,home,170527,0.96
226,under,164766,0.98
227,water,167666,0.96
228,room,172472,0.92
229,write,161824,0.98
230,mother,169407,0.93
231,area,165812,0.95
232,national,166359,0.95
233,money,164794,0.95
234,story,163582,0.96
235,young,160011,0.98
236,fact,164401,0.95
237,month,162685,0.96
238,different,162411,0.96
239,lot,169570,0.92
240,right,163259,0.95
241,study,174069,0.88
242,book,154013,0.98
243,eye,169150,0.89
244,job,154743,0.96
245,word,152891,0.97
246,though,152182,0.97
247,business,154468,0.95
248,issue,156417,0.94
249,side,152559,0.96
250,kind,155032,0.95
251,four,150646,0.97
252,head,160131,0.91
253,far,148621,0.98
254,black,150718,0.96
255,long,149050,0.97
256,both,146338,0.97
257,little,149658,0.94
258,house,149251,0.94
259,yes,157364,0.89
260,after,142289,0.98
261,since,141264,0.98
262,long,142007,0.97
263,provide,150879,0.91
264,service,146122,0.94
265,around,143766,0.96
266,friend,142697,0.96
267,important,144194,0.95
268,father,145051,0.93
269,sit,147185,0.92
270,away,144713,0.93
